Hotel Name,Review,Number of Reviews,Review Score,City
Hotel Neu Villa - Walk In from New Delhi Railway Station,8.1,67 reviews,7.8,
Hotel Check-in - Dwarka Sec 23,Very good,30 reviews,8.5,
Hotel King Plaza,8.6,361 reviews,6.6,
Hotel Decent Suites - Delhi Airport,7.6,"1,994 reviews",7.6,
Hotel Aero Star Near Delhi Airport,Good,659 reviews,8.1,
Hotel Green Villa - Anand Vihar,8.1,96 reviews,8.6,
The Leela Ambience Convention Hotel Delhi,Very good,"1,576 reviews",8.5,
Hotel Shri Vinayak at New Delhi Railway Station-By RCG Hotels,8.6,"1,014 reviews",8.1,
AEROCITY HOTEL J P PALACE IGI AIRPORT NEW Delhi,Fabulous,90 reviews,6.2,
Hotel Harsha International,8.5,436 reviews,7.0,
Hotel Gaylord International - New Delhi,Very good,107 reviews,4.9,
Hotel City Empire,8.1,"2,428 reviews",8.0,
Luxury Rooms-In Hazrat Nizamuddin Railway Station,Very good,27 reviews,8.1,
Hotel Town Pallace Inn Patel Nagar New Delhi,6.2,87 reviews,7.2,
Qutab Residency - Saket Metro,Review score,29 reviews,8.3,
Hotel Preet Palace -5 Mints Walk From Nizamuddin Railway Station,7.0,115 reviews,7.6,
Hotel Opera New Delhi,Good,757 reviews,7.8,
"Hotel In Near Saket Metro, Champa Gali",4.9,60 reviews,8.1,
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",Review score,"2,096 reviews",7.5,
HOTEL MAYDA PRIME Near Delhi Airport,8.0,6 reviews,9.0,
Hotel Marina A Family Hotel Near IGI Airport BY AR,Very good,190 reviews,7.9,
Hotel Ananda,8.1,38 reviews,7.9,
Hotel Nitya Maharani ' Near New Delhi Railway Station ',Very good,"2,195 reviews",7.9,
THE JUPITER - A boutique Airport Hotel,7.2,26 reviews,8.2,
Tej palace Near IGI Airport,Good,26 reviews,9.2,
"Pride Plaza Hotel, Aerocity New Delhi",8.3,"3,805 reviews",7.5,
Hotel De Tark Near IGI Airport Delhi,Very good,"1,044 reviews",7.5,
Hotel Tej Palace Near Delhi Airport,7.6,138 reviews,6.8,
Frankstay By Hotel SAMRAT RESIDENCY 10 Mints Walking Distance Nizamuddin Railway Station,8.5,68 reviews,8.5,
"The Ashok, New Delhi",Very good,"2,077 reviews",6.7,
Yes Boss By Backpackers Heaven Near New Delhi Train Station,6.7,"1,293 reviews",7.7,
The Royal Rosette - Near Connaught Place,Review score,"2,428 reviews",8.0,
Hotel City Empire,7.7,3 reviews,8.3,
Hotel double RR Near New Delhi railway station,Good,94 reviews,8.1,
Frankstay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,8.0,188 reviews,7.2,
Airport Hotel Tashree,Very good,"5,880 reviews",7.8,
"Holiday Inn New Delhi International Airport, an IHG Hotel",8.3,369 reviews,8.1,
FabExpress JP Palace,Very good,"3,340 reviews",7.0,
"Cosy Grand, Near Chanakyapuri, Embassy Area",8.1,4 reviews,7.8,
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",Very good,297 reviews,7.2,
Rupam Hotel,7.2,"4,322 reviews",7.4,
The Gold Regency - 02 Mins from New Delhi Railway Station,Good,"7,846 reviews",6.8,
Hotel Smart Plaza Delhi Airport,7.8,15 reviews,8.9,
ibis New Delhi Aerocity - An Accor Brand,Good,14 reviews,7.1,
Anchal Dx,8.1,131 reviews,7.5,
Deluxe Room In Lajpat Nagar,Very good,56 reviews,7.6,
Hotel Palm D'or,7.0,2 reviews,9.5,
Hotel Red Velvet At Delhi Airport,Good,89 reviews,8.4,
AIRPORT HOTEL PUSHPANJALI,7.8,676 reviews,7.6,
Hotel S B INN Paharganj,Good,965 reviews,8.1,
Hotel IVY plaza Luxury,7.2,27 reviews,8.0,
Hotel The Kiara Delhi Airport,6.7,34 reviews,6.7,
Hyatt Centric Janakpuri New Delhi,Review score,675 reviews,6.5,
Hotel De Hocks Deluxe - New Delhi,6.5,12 reviews,8.1,
Hari Piorko Inn Express,Review score,45 reviews,7.4,
Hotel Trans International - Near Delhi Airport,8.1,360 reviews,7.2,
The Leena International -by Haveliya Hotels,Very good,367 reviews,7.8,
Airport Hotel Ramhan Palace Mahipalpur,7.4,"1,472 reviews",7.9,
Hotel Krone Plaza Near Delhi Airport,Good,87 reviews,7.5,
HOTEL SINGH CONTINETAL,7.2,107 reviews,8.5,
Hotel Imperial Inn - Nehru Enclave,Good,65 reviews,8.1,
"Park Inn by Radisson,South Delhi",7.8,"1,344 reviews",7.7,
FabHotel Skye Suites,Good,14 reviews,8.2,
"Crowne Plaza New Delhi Mayur Vihar Noida, an IHG Hotel",7.9,"2,379 reviews",8.2,
Hotel Grand JPM - Kalka Ji,Good,4 reviews,5.0,
Hyatt Regency Delhi,7.5,"2,367 reviews",7.7,
Hotel LA CASA DELHI AIRPORT,Good,105 reviews,7.6,
Hotel Star Villa - Budget Friendly,8.5,249 reviews,6.6,
"Treebo Tryst Rose Mallow - 9 Km Away From Arun Jaitley Stadium, Delhi",Very good,7 reviews,8.3,
Hotel City lite Near IGI Airport,8.1,469 reviews,7.2,
Hotel Olivia Inn At Delhi Airport,Very good,"1,065 reviews",8.5,
SCOOVEY The BMK Hotel & Banquets LOCAL ID ACCEPTED,7.7,52 reviews,7.1,
Pullman New Delhi Aerocity- International Airport,Good,"2,780 reviews",8.2,
Private Luxury Hygienic Rooms In Lajpat Nagar,8.2,70 reviews,7.3,
The Oakland Plaza by Orion Hotels,Very good,389 reviews,7.1,
OYO Flagship Good Vibe Home Stay,8.2,18 reviews,6.8,
ibis budget Birmingham Centre,6.7,"10,424 reviews",6.7,"Birmingham City Centre, Birmingham"
Campanile Hotel - Birmingham,Review score,"4,279 reviews",7.7,Show on map
"The Fountain Inn, Digbeth",7.7,30 reviews,7.9,Birmingham
Comfort Inn Birmingham,Good,"2,709 reviews",6.6,Show on map
Aparthotel Adagio Birmingham City Centre,7.9,"3,816 reviews",8.7,"Birmingham City Centre, Birmingham"
"Birmingham Strathallan Hotel, BW Signature Collection",Good,"2,936 reviews",6.9,Show on map
The Cotteridge Inn,6.6,36 reviews,7.5,"Birmingham Shopping District, Birmingham"
Hyatt Regency Birmingham,Review score,"6,637 reviews",7.8,Show on map
"Holiday Inn Express Birmingham - Snow Hill, an IHG Hotel",8.7,"5,040 reviews",7.6,"Birmingham Shopping District, Birmingham"
Hampton by Hilton Birmingham Broad Street,Fabulous,"8,492 reviews",7.8,Show on map
One Bedroom Apartment/Studio,6.9,5 reviews,7.8,"Edgbaston, Birmingham"
Aloft Birmingham Eastside,Review score,"3,295 reviews",8.8,Show on map
"Holiday Inn Birmingham City, an IHG Hotel",7.5,"6,180 reviews",7.8,Birmingham
ibis Birmingham Centre New Street Station Hotel,Good,"5,897 reviews",7.4,Show on map
Bloc Hotel Birmingham,7.8,"4,687 reviews",8.2,"The Westside, Birmingham"
Malmaison Birmingham,Good,"3,957 reviews",8.2,Show on map
"Holiday Inn Express - Birmingham - City Centre, an IHG Hotel",7.6,"7,939 reviews",8.4,"Birmingham City Centre, Birmingham"
The Moseley Arms,Good,"1,863 reviews",7.4,Show on map
Johal Mini Hotel Birmingham City - FREE BREAKFAST,7.8,19 reviews,7.0,"The Westside, Birmingham"
Castle Bromwich Hall; Sure Hotel Collection by Best Western,Good,"1,529 reviews",7.7,Show on map
easyHotel Birmingham,7.8,"4,610 reviews",7.3,"Jewellery Quarter, Birmingham"
"Radisson Blu Hotel, Birmingham",Good,"5,456 reviews",8.1,Show on map
The Briar Rose Wetherspoon,8.8,"3,907 reviews",7.9,"Eastside, Birmingham"
Toby Carvery Birmingham by Innkeeper's Collection,Fabulous,"2,047 reviews",8.2,Show on map
Royal George Hotel,7.8,"1,340 reviews",6.1,"Birmingham Shopping District, Birmingham"
Hotel at Conference Aston,7.9,"2,871 reviews",7.9,"Eastside, Birmingham"
pentahotel Birmingham,Good,"4,135 reviews",7.5,Show on map
Aparthotel Adagio Birmingham City Centre,7.5,"3,816 reviews",8.7,"Birmingham City Centre, Birmingham"
"Holiday Inn Express Birmingham Star City, an IHG Hotel",Good,"1,702 reviews",7.6,Show on map
Staycity Aparthotels Birmingham Jewellery Quarter,8.7,"1,342 reviews",9.0,"Birmingham Shopping District, Birmingham"
One Bedroom Apartment/Studio,Fabulous,5 reviews,7.8,Show on map
Hampton by Hilton Birmingham Jewellery Quarter,7.6,"2,801 reviews",7.7,Birmingham
Clayton Hotel Birmingham,Good,"4,960 reviews",8.4,Show on map
The Rollason Hotel,9.0,"1,589 reviews",5.9,"Jewellery Quarter, Birmingham"
"Crowne Plaza Birmingham City, an IHG Hotel",Superb,"3,209 reviews",8.0,Show on map
Staying Cool At Rotunda,7.8,"1,231 reviews",8.6,"Jewellery Quarter, Birmingham"
The Station Inn,Good,"1,820 reviews",6.5,Show on map
Hilton Garden Inn Birmingham Brindley Place,7.7,"4,277 reviews",8.0,"Jewellery Quarter, Birmingham"
Peter Scott House Birmingham,Good,356 reviews,7.4,Show on map
Edgbaston House,8.4,593 reviews,8.6,"Eastside, Birmingham"
Best Western Plough and Harrow Hotel,Very good,"2,057 reviews",7.5,Show on map
Edgbaston Park Hotel Birmingham,5.9,"4,212 reviews",8.3,Birmingham
The Bournbrook Inn,Review score,"3,276 reviews",7.6,Show on map
Delta Hotels by Marriott Birmingham,8.0,157 reviews,8.2,"The Westside, Birmingham"
The Saltley Inn,Very good,"1,069 reviews",6.2,Show on map
Selina Birmingham,8.6,"1,306 reviews",6.9,"Birmingham Shopping District, Birmingham"
Novotel Birmingham Centre,Fabulous,"2,033 reviews",7.8,Show on map
The Wellington Hotel Birmingham - Breakfast Included City Centre Near O2 Academy,6.5,"1,005 reviews",7.5,Birmingham
The High Field Town House,Review score,741 reviews,9.0,Show on map
AC Hotel by Marriott Birmingham,8.0,"2,317 reviews",8.5,"The Westside, Birmingham"
acom Hotel Berlin-City South,7.2,"3,069 reviews",7.2,
"Hotel Luc, Autograph Collection",Good,448 reviews,8.9,
Hotel Delta am Potsdamer Platz,8.9,"4,543 reviews",7.2,
"Hotel Berlin, Berlin, a member of Radisson Individuals",Fabulous,"11,094 reviews",7.9,
JW Marriott Hotel Berlin,7.2,"1,697 reviews",8.1,
Hilton Berlin,Good,"2,400 reviews",7.7,
Estrel Berlin,7.9,"4,132 reviews",8.2,
DoubleTree by Hilton Berlin Ku'damm,Good,414 reviews,8.8,
Eurostars Berlin,8.1,"4,744 reviews",7.9,
Park Inn by Radisson Berlin Alexanderplatz,Very good,"19,510 reviews",7.4,
Hotel Palace Berlin,7.7,"3,000 reviews",8.8,
Precise Tale Berlin Potsdamer Platz,Good,"3,150 reviews",8.7,
Scandic Berlin Potsdamer Platz,8.2,"12,396 reviews",8.1,
Steigenberger Hotel Am Kanzleramt,Very good,"6,412 reviews",8.6,
Premier Inn Berlin Airport,8.8,"1,715 reviews",8.8,
ibis Styles Berlin Treptow,Fabulous,"2,335 reviews",7.6,
easyHotel Berlin Hackescher Markt,7.9,"7,901 reviews",7.7,
Hotel Augusta Am Kurfürstendamm,Good,"2,393 reviews",8.1,
"InterContinental Berlin, an IHG Hotel",7.4,"2,193 reviews",8.7,
Hyperion Hotel Berlin,Good,"7,222 reviews",8.5,
Berlin Marriott Hotel,8.8,"2,199 reviews",8.6,
Park Plaza Berlin,Fabulous,"5,321 reviews",7.9,
TITANIC Comfort Mitte,8.7,"7,982 reviews",7.8,
ibis budget Berlin Kurfürstendamm,Fabulous,"4,764 reviews",7.6,
TITANIC Chaussee Berlin,8.1,"9,886 reviews",8.2,
TITANIC Comfort Kurfürstendamm,Very good,"4,233 reviews",8.0,
TITANIC Comfort Kurfürstendamm,8.0,"4,233 reviews",8.0,
TWO Hotel Berlin by Axel - Adults Only,Very good,"2,825 reviews",7.9,
Ibis Berlin Hauptbahnhof,7.9,"5,398 reviews",8.2,
Hotel Adlon Kempinski Berlin,Good,"3,535 reviews",9.2,
Park Plaza Berlin Kudamm,8.2,"4,500 reviews",7.8,
Sheraton Berlin Grand Hotel Esplanade,Very good,"1,601 reviews",7.8,
Quentin XL Potsdamer Platz,9.2,"3,084 reviews",7.3,
Leonardo Hotel Berlin Mitte,Superb,"12,186 reviews",8.1,
NH Collection Berlin Mitte am Checkpoint Charlie,7.8,"7,717 reviews",8.3,
Vienna House by Wyndham Andel's Berlin,Good,"5,969 reviews",8.3,
Waldorf Astoria Berlin,7.8,695 reviews,8.4,
Hotel AMANO Grand Central,Good,"8,861 reviews",8.1,
"Holiday Inn Express Berlin City Centre, an IHG Hotel",7.3,"10,190 reviews",8.1,
MEININGER Hotel Berlin Hauptbahnhof,Good,"12,939 reviews",7.4,
Hotel Kiez Pension Berlin,8.1,"1,908 reviews",8.1,
"The Ritz-Carlton, Berlin",Very good,"1,054 reviews",9.0,
MEININGER Hotel Berlin Airport,8.3,"2,922 reviews",7.6,
Maritim proArte Hotel Berlin,Very good,"9,913 reviews",8.0,
Novotel Berlin Am Tiergarten,8.3,"3,996 reviews",8.3,
Leonardo Royal Hotel Berlin Alexanderplatz,Very good,"10,215 reviews",8.4,
ibis Berlin Kurfuerstendamm,8.4,"3,861 reviews",8.0,
Gold Palais Hotel,Very good,976 reviews,8.3,
The Westin Grand Berlin,8.1,"5,231 reviews",8.6,
AC Hotel by Marriott Berlin Humboldthain Park,Very good,"1,316 reviews",8.0,
ibis budget Berlin Ost,8.1,"2,105 reviews",5.9,
TITANIC Comfort Kurfürstendamm,8.0,"4,233 reviews",8.0,
TWO Hotel Berlin by Axel - Adults Only,Very good,"2,825 reviews",7.9,
Ibis Berlin Hauptbahnhof,7.9,"5,398 reviews",8.2,
Hotel Adlon Kempinski Berlin,Good,"3,535 reviews",9.2,
Park Plaza Berlin Kudamm,8.2,"4,500 reviews",7.8,
Sheraton Berlin Grand Hotel Esplanade,Very good,"1,601 reviews",7.8,
Quentin XL Potsdamer Platz,9.2,"3,084 reviews",7.3,
Leonardo Hotel Berlin Mitte,Superb,"12,186 reviews",8.1,
NH Collection Berlin Mitte am Checkpoint Charlie,7.8,"7,717 reviews",8.3,
Vienna House by Wyndham Andel's Berlin,Good,"5,969 reviews",8.3,
Waldorf Astoria Berlin,7.8,695 reviews,8.4,
Hotel AMANO Grand Central,Good,"8,861 reviews",8.1,
"Holiday Inn Express Berlin City Centre, an IHG Hotel",7.3,"10,190 reviews",8.1,
MEININGER Hotel Berlin Hauptbahnhof,Good,"12,939 reviews",7.4,
Hotel Kiez Pension Berlin,8.1,"1,908 reviews",8.1,
"The Ritz-Carlton, Berlin",Very good,"1,054 reviews",9.0,
MEININGER Hotel Berlin Airport,8.3,"2,922 reviews",7.6,
Maritim proArte Hotel Berlin,Very good,"9,913 reviews",8.0,
Novotel Berlin Am Tiergarten,8.3,"3,996 reviews",8.3,
Leonardo Royal Hotel Berlin Alexanderplatz,Very good,"10,215 reviews",8.4,
ibis Berlin Kurfuerstendamm,8.4,"3,861 reviews",8.0,
Gold Palais Hotel,Very good,976 reviews,8.3,
The Westin Grand Berlin,8.1,"5,231 reviews",8.6,
AC Hotel by Marriott Berlin Humboldthain Park,Very good,"1,316 reviews",8.0,
ibis budget Berlin Ost,8.1,"2,105 reviews",5.9,
"Regent Berlin, an IHG Hotel",9.0,683 reviews,9.0,
Ibis budget Berlin Potsdamer Platz,Superb,"10,883 reviews",7.5,
"Crowne Plaza Berlin City Centre Ku'damm, an IHG Hotel",7.5,"4,875 reviews",8.3,
Novum Hotel Aldea Berlin Centrum,Good,"8,573 reviews",7.1,
NH Collection Berlin Mitte Friedrichstrasse,8.3,"7,042 reviews",8.6,
Hotel MANI by AMANO,Very good,"1,455 reviews",7.9,
Hotel Bleibtreu Berlin by Golden Tulip,7.1,846 reviews,7.8,
Pestana Berlin Tiergarten,Good,"4,611 reviews",8.1,
Meliá Berlin,8.6,"6,495 reviews",8.4,
ARCOTEL Velvet Berlin,Fabulous,"2,779 reviews",8.0,
Hotel Ludwig van Beethoven,7.9,"2,937 reviews",8.3,
"Provocateur Berlin, a Member of Design Hotels",Good,"1,213 reviews",8.7,
Essential by Dorint Berlin-Adlershof,7.8,"2,428 reviews",8.2,
Mövenpick Hotel Berlin Am Potsdamer Platz,Good,"3,433 reviews",7.9,
INNSiDE by Meliá Berlin Mitte,8.1,"5,093 reviews",8.3,
City Hotel Berlin East,Very good,"7,260 reviews",7.3,
Catalonia Berlin Mitte,8.4,"3,788 reviews",8.3,
"Lindner Hotel Berlin Ku'damm, part of JdV by Hyatt",Very good,"2,707 reviews",8.3,
H24 Berlin Lichtenberg,8.0,"1,807 reviews",8.5,
Hotel Lützow,Very good,"2,450 reviews",7.4,
Dorint Kurfürstendamm Berlin,8.3,"2,730 reviews",8.3,
Novotel Berlin Mitte,Very good,"6,163 reviews",8.1,
acom Hotel Berlin-City South,8.7,"3,069 reviews",7.2,
Ootel.com,Fabulous,"4,948 reviews",3.7,
Riu Plaza Berlin,8.2,"16,225 reviews",8.3,
The Mandala Suites,9.0,"1,271 reviews",9.0,
Wyndham Garden Berlin Mitte,Superb,"3,488 reviews",6.8,
"The Hoxton, Charlottenburg",6.8,352 reviews,8.6,
Hampton By Hilton Berlin City East Side Gallery,Review score,"5,245 reviews",8.5,
Leonardo Hotel Berlin KU'DAMM,8.6,"7,020 reviews",8.0,
MOXY Berlin Humboldthain Park,Fabulous,"2,006 reviews",7.9,
Best Western Hotel Kantstrasse Berlin,8.5,"1,788 reviews",7.5,
NH Berlin Kurfürstendamm,Very good,"3,513 reviews",8.1,
IntercityHotel Berlin Hauptbahnhof,8.0,"13,283 reviews",8.1,
Michelberger Hotel,Very good,"1,643 reviews",8.3,
H4 Hotel Berlin Alexanderplatz,7.9,"8,685 reviews",8.3,
Schlosshotel Berlin by Patrick Hellmann,Good,984 reviews,8.7,
Victor's Residenz-Hotel Berlin,7.5,"1,501 reviews",7.9,
"Holiday Inn Berlin City East Side, an IHG Hotel",Good,"3,744 reviews",8.5,
"Crowne Plaza Berlin - Potsdamer Platz, an IHG Hotel",8.1,"3,500 reviews",8.4,
Hotel ROMY by AMANO,Very good,"4,291 reviews",8.3,
"Hotel Luc, Autograph Collection",8.1,448 reviews,8.9,
Potsdamer Inn,Very good,"2,333 reviews",5.0,
Mercure Hotel Berlin City,8.3,"4,067 reviews",8.1,
NH Berlin Potsdamer Platz,Very good,"2,057 reviews",8.5,
H+ Hotel 4Youth,8.3,"4,138 reviews",7.8,
Good Morning + Berlin City East,Very good,"5,611 reviews",7.2,
Nena Apartments - Kreuzberg 61,8.7,"2,101 reviews",8.1,
Hotel Bristol Berlin,Fabulous,"3,560 reviews",7.9,
Mercure Hotel MOA Berlin,7.9,"4,391 reviews",8.3,
LOGINN Hotel Berlin Airport,8.4,"1,149 reviews",8.4,
ibis Berlin City Süd,Very good,"1,194 reviews",7.5,
"Max Brown Hotel Ku'damm, part of Sircle Collection",7.5,"2,418 reviews",8.3,
acom-Hotel Berlin Kurfürstendamm,Good,"5,312 reviews",6.9,
ARCOTEL John F Berlin,8.3,"4,482 reviews",8.2,
Grand Hyatt Berlin,Very good,"2,287 reviews",8.7,
Abba Berlin Hotel,6.9,"4,505 reviews",8.0,
H2 Hotel Berlin-Alexanderplatz,Review score,"17,008 reviews",8.1,
Grimm's Potsdamer Platz,8.2,"6,872 reviews",8.8,
ibis Hotel Berlin Mitte,Very good,"4,905 reviews",8.0,
Mercure Hotel Berlin Tempelhof,8.7,"3,568 reviews",7.9,
AMANO East Side,Fabulous,"5,391 reviews",8.3,
Hotel Indigo Berlin - East Side Gallery,8.0,"1,942 reviews",9.0,
Pullman Berlin Schweizerhof,Very good,"4,642 reviews",8.5,
Amstel House Hostel,8.1,"3,596 reviews",7.8,
Moxy Berlin Ostbahnhof,Very good,"2,800 reviews",8.1,
Steps-Hotel,8.8,"2,115 reviews",7.9,
harry's home hotel & apartments,Fabulous,414 reviews,8.6,
HighPark Berlin am Potsdamer Platz,8.0,"3,530 reviews",8.8,
"Hotel am Steinplatz, Autograph Collection",Very good,339 reviews,8.8,
Airporthotel Berlin-Adlershof,7.9,"1,120 reviews",7.7,
Hotel Amelie Berlin,Good,"1,203 reviews",6.2,
H+ Hotel Berlin Mitte,8.3,"7,152 reviews",8.4,
TITANIC Gendarmenmarkt Berlin,Very good,"5,379 reviews",8.5,
SANA Berlin Hotel,9.0,"4,306 reviews",8.5,
Select Hotel Style Berlin,8.2,"2,533 reviews",8.2,
Hotel Berlin Mitte by Campanile,Very good,"1,514 reviews",7.7,
Mercure Hotel Berlin Mitte,7.7,"1,462 reviews",7.7,
nhow Berlin,Good,"5,948 reviews",8.3,
Hotel Steglitz International,7.7,"4,283 reviews",8.1,
Best Western Hotel am Spittelmarkt,Good,"4,310 reviews",8.0,
Seminaris CampusHotel Berlin,8.3,"2,587 reviews",7.7,
Mercure Hotel Berlin Zentrum Superior,Very good,799 reviews,7.5,
about:berlin Hotel,8.1,"3,434 reviews",8.6,
Come Inn Berlin Kurfürstendamm,Very good,"2,395 reviews",7.5,
"Wilde Aparthotels by Staycity, Berlin, Checkpoint Charlie",8.0,"1,030 reviews",9.1,
Hotel Garni Aaberna,Very good,843 reviews,5.5,
Mercure Berlin Wittenbergplatz,7.7,"3,697 reviews",8.7,
SO/Berlin Das Stue,Good,388 reviews,8.8,
Artim Hotel,7.5,"3,260 reviews",7.6,
the niu Hide,Good,"3,490 reviews",8.4,
limehome Berlin Luise Henriette Str - Digital Access,8.6,"1,694 reviews",8.4,
martas Hotel Allegra Berlin,Fabulous,"2,240 reviews",8.0,
Hotel Ambiente Berlin City,7.5,"1,485 reviews",7.2,
ibis Berlin City Nord,Good,"1,635 reviews",6.7,
Capri by Fraser Berlin,9.1,"2,052 reviews",8.5,
Hotel BIRGIT Berlin Mitte,Superb,"2,026 reviews",8.2,
Ocak Hotel,5.5,"1,465 reviews",7.4,
Grünau Hotel,Review score,633 reviews,8.0,
ibis Styles Hotel Berlin Mitte,8.7,"3,171 reviews",8.0,
SO/Berlin Das Stue,8.8,388 reviews,8.8,
Artim Hotel,Fabulous,"3,260 reviews",7.6,
the niu Hide,7.6,"3,490 reviews",8.4,
limehome Berlin Luise Henriette Str - Digital Access,Good,"1,694 reviews",8.4,
martas Hotel Allegra Berlin,8.4,"2,240 reviews",8.0,
Hotel Ambiente Berlin City,Very good,"1,485 reviews",7.2,
ibis Berlin City Nord,8.4,"1,635 reviews",6.7,
Capri by Fraser Berlin,Very good,"2,052 reviews",8.5,
Hotel BIRGIT Berlin Mitte,8.0,"2,026 reviews",8.2,
Ocak Hotel,Very good,"1,465 reviews",7.4,
ibis Styles Hotel Berlin Mitte,7.2,"3,171 reviews",8.0,
BIG MAMA Berlin,Good,"1,671 reviews",8.1,
relexa hotel Stuttgarter Hof,6.7,"2,762 reviews",8.0,
fjord hotel berlin,Review score,"2,687 reviews",8.5,
aletto Hotel Potsdamer Platz,8.5,"7,574 reviews",8.7,
Hotel Residenz Begaswinkel,Very good,"1,099 reviews",8.1,
LINDEMANN'S,8.2,"2,046 reviews",8.4,
"Hotel Indigo Berlin – Ku’damm, an IHG Hotel",Very good,"1,122 reviews",8.5,
Hotel Kastanienhof,7.4,520 reviews,8.3,
Mercure Hotel & Residenz Berlin Checkpoint Charlie,Good,"3,914 reviews",8.5,
Hotel Hansablick,8.0,"1,284 reviews",8.3,
Ku'Damm 101 Hotel,Very good,"1,447 reviews",8.0,
NH Berlin Alexanderplatz,8.1,"3,371 reviews",8.1,
The Social Hub Berlin Alexanderplatz,Very good,"6,332 reviews",8.2,
Aspria Berlin Ku'damm,8.0,"1,198 reviews",8.0,
Myer's Hotel Berlin,8.9,749 reviews,8.9,
25hours Hotel Bikini Berlin,Fabulous,"1,667 reviews",8.7,
acama Hotel & Hostel Kreuzberg,8.7,"3,635 reviews",7.5,
Kurfürst am Kurfürstendamm,Fabulous,716 reviews,7.3,
Victor's Residenz-Hotel Berlin Tegel,7.5,"1,662 reviews",7.6,
Citadines Kurfürstendamm Berlin,Good,"1,594 reviews",8.2,
Bornholmer Hof im Prenzlauer Berg,7.3,"1,829 reviews",7.1,
Novum Hotel City B Berlin Centrum,Good,"2,524 reviews",6.7,
IntercityHotel Berlin Ostbahnhof,7.6,"4,264 reviews",7.9,
Müggelseeperle,Good,418 reviews,6.9,
Nena Apartments Hermannplatz,8.2,967 reviews,7.8,
MEININGER Hotel Berlin Tiergarten,Very good,"7,354 reviews",8.0,
Hotel Orion Berlin,7.1,"1,215 reviews",6.8,
Hotel Europa City,Good,"2,889 reviews",6.6,
Yggotel Spurv,6.7,294 reviews,7.8,
Henri Hotel Berlin Kurfürstendamm,Review score,"1,131 reviews",8.5,
Happy Hotel Berlin,7.9,"2,486 reviews",6.5,
M-Pire Hotel Berlin,Good,37 reviews,8.4,
Good Morning Berlin City West,6.9,"1,699 reviews",6.5,
Grimm's Berlin Mitte,Review score,"2,498 reviews",8.4,
Hotel Nova,7.8,468 reviews,6.2,
Hotel Amadeus ROYAL Berlin,Good,912 reviews,5.8,
MEININGER Hotel Berlin East Side Gallery,8.0,"5,603 reviews",7.8,
Hotel BELLEVUE am Kurfürstendamm,Very good,501 reviews,6.5,
DAS SCHMÖCKWITZ,6.8,"1,400 reviews",6.0,
Quentin Boutique Hotel,6.5,"1,226 reviews",6.5,
Hotel Eckstein,Review score,745 reviews,6.3,
The Mandala Hotel,6.3,"1,590 reviews",8.9,
Alper Hotel am Potsdamer Platz,Review score,"1,413 reviews",5.2,
Atlas Berlin Hotel,8.9,748 reviews,7.1,
KPM Hotel & Residences,Fabulous,"2,071 reviews",9.2,
BENSIMON apartments Prenzlauer Berg,5.2,341 reviews,9.0,
Novum Hotel Kronprinz Berlin,Review score,"2,307 reviews",7.3,
Queens Park Hotel,7.1,"2,232 reviews",5.1,
Select Hotel Berlin Gendarmenmarkt,Good,"4,609 reviews",7.6,
Living Hotel Weißensee,9.2,"1,855 reviews",8.3,
ADELANTE Boutique Hotel,Superb,910 reviews,8.9,
The Circus Hotel,9.0,587 reviews,8.9,
Apple City Hotel,Superb,"1,923 reviews",6.9,
Living Hotel Großer Kurfürst,7.3,"3,570 reviews",8.4,
Living Hotel Berlin Mitte,Good,"1,067 reviews",8.2,
Hotel Sedes,5.1,"1,070 reviews",7.9,
numa I Savi Rooms & Apartments,Review score,514 reviews,8.6,
Hüttenpalast,7.6,651 reviews,8.8,
"Sir Savigny Hotel, part of Sircle Collection",Good,867 reviews,8.5,
Bob W Mitte,8.3,749 reviews,8.5,
Ringhotel Seehof,Very good,"1,548 reviews",7.9,
Boutique Hotel Château Royal,8.9,524 reviews,8.8,
Hotel AMANO Rooms & Apartments,Fabulous,"2,490 reviews",8.0,
numa l Drift Rooms & Apartments,8.9,"2,317 reviews",8.5,
NH Collection Dubai The Palm,8.7,814 reviews,8.7,
DoubleTree by Hilton Dubai M Square Hotel & Residences,Fabulous,"2,711 reviews",8.5,
Fully Furnished Luxury Short Stay Apartment in SLS Dubai,8.5,1 review,10,
Mira Holiday Homes - Newly 1 bedroom in Business Bay,Very good,1 review,10,
Vogue JVC - Regina Tower,10,1 review,3.0,
Elegant One Bed Room Apartment,Exceptional,2 reviews,9.5,
Superb 1 bedroom apartment with all the amenities,10,2 reviews,1.0,
Damac Reva,Exceptional,1 review,1.0,
Cozy Haven Studio,3.0,1 review,7.0,
Promotional Price for Short stay Furnished 1 BHK,Review score,6 reviews,4.8,
Great 1BR Apartment in Sport City,9.5,"1,967 reviews",8.0,
1 bedroom in DIFC,Exceptional,"1,055 reviews",7.7,
Modern 1BR/ Stella Maris/ Dubai Marina /by Rich Stay,1.0,2 reviews,5.5,
Spacious -Upgraded Studio Close to Metro- Tecom,Review score,"3,596 reviews",8.0,
Skycourts entire apartment-120m2-big balcony,10,1 review,10,
